2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "обстоятельства"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "условия"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "обстоятельства"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "условия"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "значительный по величине"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "степени"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "значительный по величине"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "степени"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "обстоятельства"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "условия"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "значительный по величине"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "обстоятельства"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "степени"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "условия"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "адыги"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "адыги"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "адыги"
2015-04-29 00:24:34 INFO - Word dictionary doesn't contain word: "совокупность предметов"
2015-04-29 00:24:34 INFO - Word dictionary doesn't contain word: "совокупность предметов"
2015-04-29 00:24:34 INFO - Word dictionary doesn't contain word: "кавказцы"
2015-04-29 00:24:34 INFO - Word dictionary doesn't contain word: "кавказцы"
2015-04-29 00:24:35 INFO - Word dictionary doesn't contain word: "глыба льда"
2015-04-29 00:24:35 INFO - Word dictionary doesn't contain word: "глыба льда"
2015-04-29 00:24:36 INFO - Word dictionary doesn't contain word: "сравнительная величина"
2015-04-29 00:24:36 INFO - Word dictionary doesn't contain word: "наружная сторона"
2015-04-29 00:24:37 INFO - Word dictionary doesn't contain word: "производить одновременно"
2015-04-29 00:24:37 INFO - Word dictionary doesn't contain word: "производить одновременно"
2015-04-29 00:24:37 INFO - Word dictionary doesn't contain word: "признавать кем-либо"
2015-04-29 00:24:37 INFO - Word dictionary doesn't contain word: "признавать кем-либо"
2015-04-29 00:24:37 INFO - Word dictionary doesn't contain word: "признавать кем-либо"
2015-04-29 00:24:37 INFO - Word dictionary doesn't contain word: "признавать кем-либо"
2015-04-29 00:24:37 INFO - Word dictionary doesn't contain word: "признавать кем-либо"
2015-04-29 00:24:38 INFO - Word dictionary doesn't contain word: "ловкий прием"
2015-04-29 00:24:40 INFO - Word dictionary doesn't contain word: "кто смешит"
2015-04-29 00:24:40 INFO - Word dictionary doesn't contain word: "тот"
2015-04-29 00:24:41 INFO - Word dictionary doesn't contain word: "зал для собраний"
2015-04-29 00:24:41 INFO - Word dictionary doesn't contain word: "занятий"
2015-04-29 00:24:41 INFO - Word dictionary doesn't contain word: "сделать иным"
2015-04-29 00:24:41 INFO - Word dictionary doesn't contain word: "сделать иным"
2015-04-29 00:24:42 INFO - Word dictionary doesn't contain word: "колебания"
2015-04-29 00:24:43 INFO - Word dictionary doesn't contain word: "торжественное мероприятие"
2015-04-29 00:24:44 INFO - Word dictionary doesn't contain word: "торжественное мероприятие"
